название продукта;сылка на продукт;бренд;сылка на картинку;техт для проверки
LEGO Super Heroes 76085 Конструктор ЛЕГО Супер Герои Битва за Атлантиду;https://www.toy.ru/catalog/super_geroi/lego_super_heroes_76085_lego_super_geroi_bitva_za_atlantidu/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/2d9/207_207_10240811ca8906714d1a9f41f2f5b358d/76085.jpg;LEGO Super Heroes 76085 Конструктор ЛЕГО Супер Герои Битва заАтлантиду
LEGO DUPLO 10898 Конструктор ЛЕГО ДУПЛО Дисней Мой первый Микки;https://www.toy.ru/catalog/duplo/lego_duplo_10898_konstruktor_lego_duplo_disney_moy_pervyy_mikki/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/480/207_207_10240811ca8906714d1a9f41f2f5b358d/10898_3.jpg;LEGO DUPLO 10898 Конструктор ЛЕГО ДУПЛО Дисней Мой первыйМикки
LEGO Classic 11001 Конструктор ЛЕГО Классик Модели из кубиков;https://www.toy.ru/catalog/lego_classic/lego_creator_11001_konstruktor_lego_krieytor_modeli_iz_kubikov/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/45c/207_207_10240811ca8906714d1a9f41f2f5b358d/11001_10.jpg;LEGO Classic 11001 Конструктор ЛЕГО Классик Модели из кубиков
LEGO Juniors 10766 Конструктор ЛЕГО Джуниорс История игрушек-4: Вуди на машине;https://www.toy.ru/catalog/lego_juniors/lego_juniors_10766_konstruktor_lego_dzhuniors_istoriya_igrushek_4_vudi_na_mashine/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/5f5/207_207_10240811ca8906714d1a9f41f2f5b358d/1.jpg;LEGO Juniors 10766 Конструктор ЛЕГО Джуниорс Историяигрушек-4: Вуди на машине
LEGO Juniors 10768 ЛЕГО Джуниорс История игрушек-4: Приключения Базза и Бо Пип на детской площадке;https://www.toy.ru/catalog/lego_juniors/lego_juniors_10768_lego_dzhuniors_istoriya_igrushek_4_priklyucheniya_bazza_i_bo_pip_na_detskoy_ploshch/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/7af/207_207_10240811ca8906714d1a9f41f2f5b358d/1.jpg;LEGO Juniors 10768 ЛЕГО Джуниорс История игрушек-4:Приключения Базза и Бо Пип на детской площадке
LEGO City 60245 Конструктор ЛЕГО Город Ограбление полицейского монстр-трака;https://www.toy.ru/catalog/gorod/lego_city_60245_konstruktor_lego_gorod_ograblenie_politseyskogo_monstr_traka/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/c39/207_207_10240811ca8906714d1a9f41f2f5b358d/60245_boxprod_v29.jpg;LEGO City 60245 Конструктор ЛЕГО Город Ограбление полицейскогомонстр-трака
LEGO City 60246 Конструктор ЛЕГО Город Полицейский участок;https://www.toy.ru/catalog/gorod/lego_city_60246_konstruktor_lego_gorod_politseyskiy_uchastok/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/25f/207_207_10240811ca8906714d1a9f41f2f5b358d/60246_boxprod_v29.jpg;LEGO City 60246 Конструктор ЛЕГО Город Полицейский участок
LEGO DUPLO 10928 Конструктор ЛЕГО ДУПЛО Пекарня;https://www.toy.ru/catalog/duplo/lego_duplo_10928_konstruktor_lego_duplo_pekarnya/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/17f/207_207_10240811ca8906714d1a9f41f2f5b358d/10928_boxprod_v29.jpg;LEGO DUPLO 10928 Конструктор ЛЕГО ДУПЛО Пекарня
LEGO Creator 31099 Конструктор ЛЕГО Криэйтор Винтовой самолёт;https://www.toy.ru/catalog/krieytor/lego_creator_31099_konstruktor_lego_krieytor_vintovoy_samolyet/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/e35/207_207_10240811ca8906714d1a9f41f2f5b358d/31099_boxprod_v29.jpg;LEGO Creator 31099 Конструктор ЛЕГО Криэйтор Винтовой самолёт
LEGO Creator 31104 Конструктор ЛЕГО Криэйтор Грузовик Монстрбургер;https://www.toy.ru/catalog/krieytor/lego_creator_31104_konstruktor_lego_krieytor_gruzovik_monstrburger/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/523/207_207_10240811ca8906714d1a9f41f2f5b358d/31104_boxprod_v29.jpg;LEGO Creator 31104 Конструктор ЛЕГО Криэйтор ГрузовикМонстрбургер
LEGO Star Wars 75265 Конструктор ЛЕГО Звездные войны Микрофайтеры: Скайхоппер T-16 против Банты;https://www.toy.ru/catalog/zvezdnye_voyny/lego_star_wars_75265_konstruktor_lego_zvezdnye_voyny_mikrofaytery_skaykhopper_t_16_protiv_banty/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/dfe/207_207_10240811ca8906714d1a9f41f2f5b358d/75265_boxprod_v29.jpg;LEGO Star Wars 75265 Конструктор ЛЕГО Звездные войныМикрофайтеры: Скайхоппер T-16 против Банты
LEGO Star Wars 75272 Конструктор ЛЕГО Звездные войны Истребитель СИД ситхов;https://www.toy.ru/catalog/zvezdnye_voyny/lego_star_wars_75272_konstruktor_lego_zvezdnye_voyny_istrebitel_sid_sitkhov/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/b98/207_207_10240811ca8906714d1a9f41f2f5b358d/75272_boxprod_v29.jpg;LEGO Star Wars 75272 Конструктор ЛЕГО Звездные войныИстребитель СИД ситхов
LEGO Super Heroes 76149 Конструктор ЛЕГО Супер Герои Угрозы Мистерио;https://www.toy.ru/catalog/super_geroi/lego_super_heroes_76149_konstruktor_lego_super_geroi_ugrozy_misterio/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/5e9/207_207_10240811ca8906714d1a9f41f2f5b358d/76149_boxprod_v29.jpg;LEGO Super Heroes 76149 Конструктор ЛЕГО Супер Герои УгрозыМистерио
LEGO DUPLO Town 10933 Конструктор ЛЕГО ДУПЛО Башенный кран на стройке;https://www.toy.ru/catalog/duplo/lego_duplo_town_10933_konstruktor_lego_duplo_bashennyy_kran_na_stroyke/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/aca/207_207_10240811ca8906714d1a9f41f2f5b358d/10933_boxprod.jpg;LEGO DUPLO Town 10933 Конструктор ЛЕГО ДУПЛО Башенный кран настройке
LEGO Creator 31107 Конструктор ЛЕГО Криэйтор Исследовательский планетоход;https://www.toy.ru/catalog/krieytor/lego_creator_31107_konstruktor_lego_krieytor_issledovatelskiy_planetokhod/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/b0a/207_207_10240811ca8906714d1a9f41f2f5b358d/31107_boxprod.jpg;LEGO Creator 31107 Конструктор ЛЕГО Криэйтор Исследовательскийпланетоход
LEGO Ninjago 71719 Конструктор ЛЕГО Ниндзяго Бронированный носорог Зейна;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71719_konstruktor_lego_nindzyago_bronirovannyy_nosorog_zeyna/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/63e/207_207_10240811ca8906714d1a9f41f2f5b358d/71719_boxprod.jpg;LEGO Ninjago 71719 Конструктор ЛЕГО Ниндзяго Бронированныйносорог Зейна
LEGO DUPLO 10957 Конструктор ЛЕГО Дупло Пожарный вертолет и полицейский автомобиль;https://www.toy.ru/catalog/duplo/lego_duplo_10957_konstruktor_lego_duplo_pozharnyy_vertolet_i_politseyskiy_avtomobil/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/960/207_207_10240811ca8906714d1a9f41f2f5b358d/10957_prod1.jpg;LEGO DUPLO 10957 Конструктор ЛЕГО Дупло Пожарный вертолет иполицейский автомобиль
LEGO DUPLO 10941 Конструктор ЛЕГО ДУПЛО Дисней Праздничный поезд Микки и Минни;https://www.toy.ru/catalog/duplo/lego_duplo_10941_konstruktor_lego_duplo_disney_prazdnichnyy_poezd_mikki_i_minni/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/fc3/207_207_10240811ca8906714d1a9f41f2f5b358d/10941.jpg;LEGO DUPLO 10941 Конструктор ЛЕГО ДУПЛО Дисней Праздничныйпоезд Микки и Минни
LEGO DUPLO 10955 Конструктор ЛЕГО ДУПЛО Поезд для животных;https://www.toy.ru/catalog/duplo/lego_duplo_10955_konstruktor_lego_duplo_poezd_dlya_zhivotnykh/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/f77/207_207_10240811ca8906714d1a9f41f2f5b358d/10955.jpg;LEGO DUPLO 10955 Конструктор ЛЕГО ДУПЛО Поезд для животных
LEGO Super Heroes 76165 Конструктор ЛЕГО Супер Герои Шлем Железного Человека;https://www.toy.ru/catalog/super_geroi/lego_super_heroes_76165_konstruktor_lego_super_geroi_shlem_zheleznogo_cheloveka/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/aa3/207_207_10240811ca8906714d1a9f41f2f5b358d/76165.jpg;LEGO Super Heroes 76165 Конструктор ЛЕГО Супер Герои ШлемЖелезного Человека
LEGO Ninjago 71740 Конструктор ЛЕГО Ниндзяго Электрический робот Джея;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71740_konstruktor_lego_nindzyago_elektricheskiy_robot_dzheya/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/547/207_207_10240811ca8906714d1a9f41f2f5b358d/71740.jpg;LEGO Ninjago 71740 Конструктор ЛЕГО Ниндзяго Электрическийробот Джея
LEGO VIDIYO 43105 Конструктор ЛЕГО Битбокс Любителя вечеринок Л.Л.А.М.А;https://www.toy.ru/catalog/vidiyo/lego_vidiyo_43105_konstruktor_lego_bitboks_lyubitelya_vecherinok_l_l_a_m_a/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/e59/207_207_10240811ca8906714d1a9f41f2f5b358d/43105.jpg;LEGO VIDIYO 43105 Конструктор ЛЕГО Битбокс Любителя вечеринокЛ.Л.А.М.А
LEGO City 60279 Конструктор ЛЕГО Город Пожарный автомобиль;https://www.toy.ru/catalog/gorod/lego_city_60279_konstruktor_lego_gorod_pozharnyy_avtomobil/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/088/207_207_10240811ca8906714d1a9f41f2f5b358d/60279.jpg;LEGO City 60279 Конструктор ЛЕГО Город Пожарный автомобиль
LEGO City 60292 Конструктор ЛЕГО Город Центр города;https://www.toy.ru/catalog/gorod/lego_city_60292_konstruktor_lego_gorod_tsentr_goroda/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/259/207_207_10240811ca8906714d1a9f41f2f5b358d/60292.jpg;LEGO City 60292 Конструктор ЛЕГО Город Центр города
LEGO Classic 11013 Конструктор ЛЕГО Классик Прозрачные кубики;https://www.toy.ru/catalog/lego_classic/lego_classic_11013_konstruktor_lego_klassik_prozrachnye_kubiki/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/4b3/207_207_10240811ca8906714d1a9f41f2f5b358d/11013.jpg;LEGO Classic 11013 Конструктор ЛЕГО Классик Прозрачные кубики
LEGO Super Heroes 76182 Конструктор ЛЕГО Супер Герои Маска Бэтмена;https://www.toy.ru/catalog/super_geroi/lego_super_heroes_76182_konstruktor_lego_super_geroi_maska_betmena/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/775/207_207_10240811ca8906714d1a9f41f2f5b358d/76182.jpg;LEGO Super Heroes 76182 Конструктор ЛЕГО Супер Герои МаскаБэтмена
LEGO Star Wars 75305 Конструктор ЛЕГО Звездные Войны Шлем пехотинца-разведчика;https://www.toy.ru/catalog/zvezdnye_voyny/lego_star_wars_75305_konstruktor_lego_zvezdnye_voyny_shlem_pekhotintsa_razvedchika/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/9c7/207_207_10240811ca8906714d1a9f41f2f5b358d/75305.jpg;LEGO Star Wars 75305 Конструктор ЛЕГО Звездные Войны Шлемпехотинца-разведчика
LEGO Star Wars 75306 Конструктор ЛЕГО Звездные Войны Имперский разведывательный дроид;https://www.toy.ru/catalog/zvezdnye_voyny/lego_star_wars_75306_konstruktor_lego_zvezdnye_voyny_imperskiy_razvedyvatelnyy_droid/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/adc/207_207_10240811ca8906714d1a9f41f2f5b358d/75306.jpg;LEGO Star Wars 75306 Конструктор ЛЕГО Звездные Войны Имперскийразведывательный дроид
LEGO DUPLO 10939 Конструктор ЛЕГО ДУПЛО Jurassic World Побег динозавров: тираннозавр и трицератопс;https://www.toy.ru/catalog/duplo/lego_duplo_10939_konstruktor_lego_duplo_jurassic_world_pobeg_dinozavrov_tirannozavr_i_tritseratops/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/235/207_207_10240811ca8906714d1a9f41f2f5b358d/10939.jpg;LEGO DUPLO 10939 Конструктор ЛЕГО ДУПЛО Jurassic World Побегдинозавров: тираннозавр и трицератопс
LEGO Minecraft 21174 Конструктор ЛЕГО Майнкрафт Современный домик на дереве;https://www.toy.ru/catalog/maynkraft/lego_minecraft_21174_konstruktor_lego_maynkraft_sovremennyy_domik_na_dereve/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/a4e/207_207_10240811ca8906714d1a9f41f2f5b358d/21174_3.jpg;LEGO Minecraft 21174 Конструктор ЛЕГО Майнкрафт Современныйдомик на дереве
"LEGO VIDIYO 43114 Конструктор ЛЕГО Набор ""Корабль Пирата Панка""";https://www.toy.ru/catalog/vidiyo/lego_vidiyo_43114_konstruktor_lego_nabor_korabl_pirata_panka/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/6b9/207_207_10240811ca8906714d1a9f41f2f5b358d/43114_5.jpg;"LEGO VIDIYO 43114 Конструктор ЛЕГО Набор ""Корабль ПиратаПанка"""
"LEGO VIDIYO 43115 Конструктор ЛЕГО Набор ""Бумбокс""";https://www.toy.ru/catalog/vidiyo/lego_vidiyo_43115_konstruktor_lego_nabor_bumboks/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/3f7/207_207_10240811ca8906714d1a9f41f2f5b358d/43115_5.jpg;"LEGO VIDIYO 43115 Конструктор ЛЕГО Набор ""Бумбокс"""
LEGO DOTs 41936 ЛЕГО Дотс Подставка для карандашей;https://www.toy.ru/catalog/dots/lego_dots_41936_lego_dots_podstavka_dlya_karandashey/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/cfa/207_207_10240811ca8906714d1a9f41f2f5b358d/41936_3.jpg;LEGO DOTs 41936 ЛЕГО Дотс Подставка для карандашей
LEGO Speed Champions 76904 Конструктор ЛЕГО Чемпионс Mopar Dodge SRT Top Fuel Dragster and 1970 Dodg;https://www.toy.ru/catalog/speed_champions/lego_speed_champions_76904_konstruktor_lego_chempions_mopar_dodge_srt_top_fuel_dragster_and_1970_dod/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/b8d/207_207_10240811ca8906714d1a9f41f2f5b358d/76904_3.jpg;LEGO Speed Champions 76904 Конструктор ЛЕГО Чемпионс MoparDodge SRT Top Fuel Dragster and 1970 Dodg
LEGO Ninjago 71734 Конструктор ЛЕГО Ниндзяго Мотоцикл Кая;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71734_konstruktor_lego_nindzyago_mototsikl_kaya/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/68f/207_207_10240811ca8906714d1a9f41f2f5b358d/71734_3.jpg;LEGO Ninjago 71734 Конструктор ЛЕГО Ниндзяго Мотоцикл Кая
LEGO Ninjago 71753 Конструктор ЛЕГО Ниндзяго Атака огненного дракона;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71753_konstruktor_lego_nindzyago_ataka_ognennogo_drakona/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/5b4/207_207_10240811ca8906714d1a9f41f2f5b358d/71753_3.jpg;LEGO Ninjago 71753 Конструктор ЛЕГО Ниндзяго Атака огненногодракона
LEGO DUPLO 10961 Конструктор ЛЕГО ДУПЛО Самолет и аэропорт;https://www.toy.ru/catalog/duplo/lego_duplo_10961_konstruktor_lego_duplo_samolet_i_aeroport/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/a12/207_207_10240811ca8906714d1a9f41f2f5b358d/7.jpg;LEGO DUPLO 10961 Конструктор ЛЕГО ДУПЛО Самолет и аэропорт
LEGO Classic 10701 Конструктор ЛЕГО Классик Строительная пластина серого цвета;https://www.toy.ru/catalog/lego_classic/lego_10701_lego_klassika_stroitelnaya_plastina_serogo_tsveta/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/616/207_207_10240811ca8906714d1a9f41f2f5b358d/bdc0c58c_7bbe_11e4_9cbd_00155d093116.jpeg;LEGO Classic 10701 Конструктор ЛЕГО Классик Строительнаяпластина серого цвета
LEGO Super Heroes 76087 Конструктор ЛЕГО Супер Герои Нападение с воздуха;https://www.toy.ru/catalog/super_geroi/lego_super_heroes_76087_lego_super_geroi_napadenie_s_vozdukha/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/f24/207_207_10240811ca8906714d1a9f41f2f5b358d/76087.jpg;LEGO Super Heroes 76087 Конструктор ЛЕГО Супер Герои Нападениес воздуха
LEGO DUPLO 10861 Конструктор ЛЕГО ДУПЛО Мои первые эмоции;https://www.toy.ru/catalog/duplo/lego_duplo_10861_lego_duplo_moi_pervye_emotsii/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/dc8/207_207_10240811ca8906714d1a9f41f2f5b358d/10861.jpg;LEGO DUPLO 10861 Конструктор ЛЕГО ДУПЛО Мои первые эмоции
LEGO DUPLO 10872 Конструктор ЛЕГО ДУПЛО Железнодорожный мост и рельсы;https://www.toy.ru/catalog/duplo/lego_duplo_10872_konstruktor_lego_duplo_zheleznodorozhnyy_most_i_relsy/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/260/207_207_10240811ca8906714d1a9f41f2f5b358d/10872_2.jpg;LEGO DUPLO 10872 Конструктор ЛЕГО ДУПЛО Железнодорожный мост ирельсы
LEGO City 60197 Конструктор ЛЕГО Город Пассажирский поезд;https://www.toy.ru/catalog/gorod/lego_city_60197_konstruktor_lego_gorod_passazhirskiy_poezd/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/468/207_207_10240811ca8906714d1a9f41f2f5b358d/60197_2.jpg;LEGO City 60197 Конструктор ЛЕГО Город Пассажирский поезд
LEGO City 60205 Конструктор ЛЕГО Город Рельсы;https://www.toy.ru/catalog/gorod/lego_city_60205_konstruktor_lego_gorod_relsy/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/a06/207_207_10240811ca8906714d1a9f41f2f5b358d/60205_2.jpg;LEGO City 60205 Конструктор ЛЕГО Город Рельсы
LEGO City 60238 Конструктор ЛЕГО Город Железнодорожные стрелки;https://www.toy.ru/catalog/aktsiya_po_lego/lego_city_60238_konstruktor_lego_gorod_zheleznodorozhnye_strelki/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/814/207_207_10240811ca8906714d1a9f41f2f5b358d/a1si3fdof1l.jpg;LEGO City 60238 Конструктор ЛЕГО Город Железнодорожные стрелки
LEGO City 60237 Конструктор ЛЕГО Город Поворот и перекрёсток;https://www.toy.ru/catalog/gorod/lego_city_60237_konstruktor_lego_gorod_povorot_i_perekryestok/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/aec/207_207_10240811ca8906714d1a9f41f2f5b358d/60237_2.jpg;LEGO City 60237 Конструктор ЛЕГО Город Поворот и перекрёсток
LEGO Movie 2 70820 Конструктор ЛЕГО Фильм 2 Набор кинорежиссёра LEGO;https://www.toy.ru/catalog/muvi/lego_movie_2_70820_konstruktor_lego_film_2_nabor_kinorezhissyera_lego/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/731/207_207_10240811ca8906714d1a9f41f2f5b358d/70820_3.jpg;LEGO Movie 2 70820 Конструктор ЛЕГО Фильм 2 Наборкинорежиссёра LEGO
"LEGO Movie 2 70825 Конструктор ЛЕГО Фильм 2 Шкатулка королевы Многолики ""Собери что хочешь""";https://www.toy.ru/catalog/muvi/lego_movie_2_70825_konstruktor_lego_film_2_shkatulka_korolevy_mnogoliki_soberi_chto_khochesh/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/3d4/207_207_10240811ca8906714d1a9f41f2f5b358d/70825_3.jpg;"LEGO Movie 2 70825 Конструктор ЛЕГО Фильм 2 Шкатулка королевыМноголики ""Собери что хочешь"""
LEGO Classic 11002 Конструктор ЛЕГО Классик Базовый набор кубиков;https://www.toy.ru/catalog/lego_classic/lego_creator_11002_konstruktor_lego_krieytor_bazovyy_nabor_kubikov/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/570/207_207_10240811ca8906714d1a9f41f2f5b358d/11002_10.jpg;LEGO Classic 11002 Конструктор ЛЕГО Классик Базовый наборкубиков
LEGO Star Wars 75239 Конструктор ЛЕГО Звездные Войны Разрушение генераторов на Хоте;https://www.toy.ru/catalog/zvezdnye_voyny/lego_star_wars_75239_konstruktor_lego_zvezdnye_voyny_razrushenie_generatorov_na_khote/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/d67/207_207_10240811ca8906714d1a9f41f2f5b358d/75239_2.jpg;LEGO Star Wars 75239 Конструктор ЛЕГО Звездные ВойныРазрушение генераторов на Хоте
LEGO City 60224 Конструктор ЛЕГО Город Миссия по ремонту спутника;https://www.toy.ru/catalog/gorod/lego_city_60224_konstruktor_lego_gorod_missiya_po_remontu_sputnika/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/c27/207_207_10240811ca8906714d1a9f41f2f5b358d/2.jpg;LEGO City 60224 Конструктор ЛЕГО Город Миссия по ремонтуспутника
